pdb,solvent,e3,n3
1,tetramethylsilane,1.92,1.3582
2,n-pentane,1.84,1.3547
3,2-methylbutane,1.83,1.3509
4,n-hexane,1.88,1.3723
5,cyclohexane,2.02,1.4235
6,n-heptane,1.92,1.3851
7,n-octane,1.95,1.3951
8,2_2_4-trimethylpentane,1.96,1.389
9,n-decane,1.99,1.4097
10,n-dodecane,2,1.4195
11,n-hexadecane,2.05,1.4325
12,benzene,2.27,1.4979
13,toluene,2.38,1.4941
14,ortho-xylene,2.57,1.503
15,meta-xylene,2.37,1.4946
16,para-xylene,2.27,1.4933
17,ethylbenzene,2.4,1.4932
18,isopropylbenzene,2.38,1.4889
19,1_3_5-trimethylbenzene,2.28,1.4968
20,styrene,2.43,1.544
21,1-chloro-1_2_3_4-tetrahydronaphthalene,2.77,1.5392
22,cis-decalin,2.2,1.4788
23,water,78.36,1.3325
24,methanol,32.66,1.3265
25,ethanol,24.55,1.3594
26,1-propanol,20.45,1.3837
27,2-propanol,19.92,1.3752
28,1-butanol,17.51,1.3974
29,2-methyl-1-propanol,17.93,1.3939
30,2-butanol,16.56,1.3953
31,2-methyl-2-propanol,12.47,1.3852
32,1-pentanol,13.9,1.408
33,3-methyl-1-butanol,15.19,1.4052
34,2-methyl-2-butanol,5.78,1.402
35,1-hexanol,13.3,1.4157
36,cyclohexanol,15,1.4648
37,1-octanol,10.34,1.4276
38,1-decanol,8.1,1.435
39,1-dodecanol,5.7,1.4413
40,benzyl_alcohol,12.7,1.5384
41,2-phenylethanol,12.31,1.5317
42,allyl_alcohol,21.6,1.4113
43,2-chloroethanol,25.8,1.4421
44,2-cyanoethanol,,
45,2_2_2-trifluoroethanol,26.67,1.2907
46,1_1_1_3_3_3-hexafluoro-2-propanol,16.62,1.277
47,2-methoxyethanol,16.93,1.4002
48,2-ethoxyethanol,29.6,1.4057
49,ethylene_glycol,37.7,1.4306
50,1_2-propanediol,32,1.4314
51,1_3-propanediol,35,1.4386
52,1_2-butanediol,,1.4372
53,2R_3S-butanediol,21.53,1.4372
54,1_4-butanediol,30.2,1.4443
55,1_5-pentanediol,,1.4484
56,diethylene_glycol,31.69,1.4461
57,triethylene_glycol,23.69,1.4541
58,glycerol,42.5,1.473
59,phenol,11.6,1.5427
60,ortho-cresol,11.5,1.5442
61,meta-cresol,12.44,1.5396
62,para-cresol,11.07,1.5391
63,2_6-dimethoxyphenol,,
64,6-amino-2_4-dimethylphenol,6.16,1.5254
65,3-chlorophenol,,1.5632
66,diethyl_ether,4.2,1.3495
67,di-n-propyl_ether,3.39,1.378
68,diisopropyl_ether,3.88,1.3655
